model,model_actual,display_name,EAR_1A,EAR_1C,EAR_1B,dEAR_AC,dEAR_CB,JEAR_2A,JEAR_2B,dJEAR,ASR_3A,ASR_3B,ASR_3C,dASR_BC
gpt-4o,openai/gpt-4o-mini,GPT-4o-mini,0.500,0.500,0.667,+0.000,+0.167,0.000,1.000,+1.000,0.000,0.167,0.733,+0.567
claude-3.5-sonnet,anthropic/claude-3.5-haiku,Claude 3.5 Haiku,0.767,0.593,0.817,-0.173,+0.223,0.217,1.000,+0.783,0.000,0.322,0.190,-0.132
gemini-1.5-pro,google/gemini-2.0-flash-001,Gemini 2.0 Flash,0.517,0.500,0.833,-0.017,+0.333,0.000,1.000,+1.000,0.000,0.900,0.683,-0.217
